town,url,name
Bloomfield,http://rocwiki.org/Sharks_Ice_Cream,Sharks Ice Cream
Brighton,http://rocwiki.org/AVVINO,AVVINO
Brighton,http://rocwiki.org/Agave_Mexican_Grill,Agave Mexican Grill
Brighton,http://rocwiki.org/Aja_Noodle_Company,Aja Noodle Company
Brighton,http://rocwiki.org/Amaya_Bar_and_Grill,Amaya Bar and Grill
Brighton,http://rocwiki.org/Arby%27s,Arby's
Brighton,http://rocwiki.org/Bamboo_House,Bamboo House
Brighton,http://rocwiki.org/Brandani%27s,Brandani's
Brighton,http://rocwiki.org/Brick_Wood_Fired_Pizza_%26_Pasta,Brick Wood Fired Pizza & Pasta
Brighton,http://rocwiki.org/Cerame%27s_Italian_Villa,Cerame's Italian Villa
Brighton,http://rocwiki.org/Char_Broil_Family_Restaurant,Char Broil Family Restaurant
Brighton,http://rocwiki.org/Chen_Garden,Chen Garden
Brighton,http://rocwiki.org/Chopstix_Chinese_Restaurant,Chopstix Chinese Restaurant
Brighton,http://rocwiki.org/Crab_Shack,Crab Shack
Brighton,http://rocwiki.org/Delmonicos_Italian_Steakhouse,Delmonicos Italian Steakhouse
Brighton,http://rocwiki.org/DiBella%27s,DiBella's
Brighton,http://rocwiki.org/Don%27s_Original,Don's Original
Brighton,http://rocwiki.org/Dunkin%27_Donuts,Dunkin' Donuts
Brighton,http://rocwiki.org/Flour_City_Grill,Flour City Grill
Brighton,http://rocwiki.org/Fox%27s,Fox's
Brighton,http://rocwiki.org/Friendly%27s,Friendly's
Brighton,http://rocwiki.org/Geulah%27s_Kosher_Cafe,Geulah's Kosher Cafe
Brighton,http://rocwiki.org/Golden_Dynasty,Golden Dynasty
Brighton,http://rocwiki.org/Great_Harvest_Bread_Company,Great Harvest Bread Company
Brighton,http://rocwiki.org/Great_Northern_Pizza_Kitchens,Great Northern Pizza Kitchens
Brighton,http://rocwiki.org/Grinnell%27s_Restaurant,Grinnell's Restaurant
Brighton,http://rocwiki.org/Halfmoon_Creative_Salads,Halfmoon Creative Salads
Brighton,http://rocwiki.org/Jay%27s_Diner,Jay's Diner
Brighton,http://rocwiki.org/Ken%27s_Pizza_Corner,Ken's Pizza Corner
Brighton,http://rocwiki.org/Leo%27s_Deli,Leo's Deli
Brighton,http://rocwiki.org/Mamasan%27s,Mamasan's
Brighton,http://rocwiki.org/Mario%27s_Italian_Steakhouse_%26_Catering,Mario's Italian Steakhouse & Catering
Brighton,http://rocwiki.org/Max_Chophouse,Max Chophouse
Brighton,http://rocwiki.org/Michelina%27s_Italian_Eatery,Michelina's Italian Eatery
Brighton,http://rocwiki.org/New_Cantonese,New Cantonese
Brighton,http://rocwiki.org/Oakleaf_Eatery,Oakleaf Eatery
Brighton,http://rocwiki.org/The_Otter_Lodge,The Otter Lodge
Brighton,http://rocwiki.org/Panera_Bread,Panera Bread
Brighton,http://rocwiki.org/Phillips_European_Restaurant,Phillips European Restaurant
Brighton,http://rocwiki.org/Pizza_Hut,Pizza Hut
Brighton,http://rocwiki.org/Sai_Gon_Restaurant,Sai Gon Restaurant
Brighton,http://rocwiki.org/Sakura_Home,Sakura Home
Brighton,http://rocwiki.org/Salvatore%27s_Old_Fashioned_Pizzeria,Salvatore's Old Fashioned Pizzeria
Brighton,http://rocwiki.org/Clover_Lanes,Clover Lanes
Brighton,http://rocwiki.org/Schallers,Schallers
Brighton,http://rocwiki.org/Seoul_House,Seoul House
Brighton,http://rocwiki.org/Subway_Restaurants,Subway Restaurants
Brighton,http://rocwiki.org/TGI_Friday%27s,TGI Friday's
Brighton,http://rocwiki.org/Yummy_Garden,Yummy Garden
Brighton,http://rocwiki.org/Zebb%27s_Deluxe_Grill_%26_Bar,Zebb's Deluxe Grill & Bar
City of Rochester,http://rocwiki.org/Arnett_Cafe,Arnett Cafe
City of Rochester,http://rocwiki.org/Boulder_Coffee_Co.,Boulder Coffee Co.
City of Rochester,http://rocwiki.org/Brooks_Landing_Diner,Brooks Landing Diner
City of Rochester,http://rocwiki.org/Campi%27s,Campi's
City of Rochester,http://rocwiki.org/Capital_Subs,Capital Subs
City of Rochester,http://rocwiki.org/Chili_Diner,Chili Diner
City of Rochester,http://rocwiki.org/El_Latino_Restaurant,El Latino Restaurant
City of Rochester,http://rocwiki.org/Holley%27s_Cafe_and_Catering,Holley's Cafe and Catering
City of Rochester,http://rocwiki.org/LJ%27s,LJ's
City of Rochester,http://rocwiki.org/LOM2FWA,LOM2FWA
City of Rochester,http://rocwiki.org/Livie%27s_Jamaican_Restaurant_and_Import_Market,Livie's Jamaican Restaurant and Import Market
City of Rochester,http://rocwiki.org/Menezes_Pizza,Menezes Pizza
City of Rochester,http://rocwiki.org/Natural_Vibes,Natural Vibes
